coccicheck-find,False-postive,,Notes,warning I got
kernel//notifier.c:494:2-5: WARNING: Use BUG_ON instead of if condition followed by BUG.,,,gone,
Please make sure the condition has no side effects (see conditional BUG_ON definition in include/asm-generic/bug.h),,,gone,
kernel//sched/core.c:7020:2-5: WARNING: Use BUG_ON instead of if condition followed by BUG.,,,gone,
Please make sure the condition has no side effects (see conditional BUG_ON definition in include/asm-generic/bug.h),,,gone,
kernel//irq/manage.c:2119:8-28: ERROR: Threaded IRQ with no primary handler requested without IRQF_ONESHOT,,,gone,
kernel/rcu/tree_plugin.h:156:35-36: WARNING: sum of probable bitmasks consider |,0,"Not worth fixing, gcc handles it",gone,
kernel/rcu/tree_plugin.h:171:49-50: WARNING: sum of probable bitmasks consider |,0,"Not worth fixing, gcc handles it",gone,
kernel/rcu/tree_plugin.h:172:19-20: WARNING: sum of probable bitmasks consider |,0,"Not worth fixing, gcc handles it",gone,
kernel/rcu/tree_plugin.h:173:19-20: WARNING: sum of probable bitmasks consider |,0,"Not worth fixing, gcc handles it",gone,
kernel/rcu/tree_plugin.h:187:35-36: WARNING: sum of probable bitmasks consider |,0,"Not worth fixing, gcc handles it",gone,
kernel/rcu/tree_plugin.h:188:35-36: WARNING: sum of probable bitmasks consider |,0,"Not worth fixing, gcc handles it",gone,
kernel/rcu/tree_plugin.h:200:19-20: WARNING: sum of probable bitmasks consider |,0,"Not worth fixing, gcc handles it",gone,
kernel//trace/trace_output.c:764:2-8: SUGGESTION: printk + WARN_ON can be just WARN,0,,gone,
kernel//trace/trace_output.c:1391:3-9: SUGGESTION: printk + WARN_ON_ONCE can be just WARN_ONCE,0,,gone,
kernel//trace/trace.c:1812:2-8: SUGGESTION: printk + WARN_ON can be just WARN,0,,gone,
